|    | archivo_local   | archivo_muse   |   n_respuestas_inicial |   n_respuestas_final |   balance clase 0(p) |   balance clase 0(p)(train) |   balance clase 0(p)(test) |
| ('museData17.csv', 'XGB') | 0.663158 |   0.62069  |           0.663158 |    0.651961 |     0.526316  | 0.8      |   0.618877 |
| ('museData17.csv', 'SVM') | 0.689474 |   0.655172 |           0.689474 |    0.673077 |     0.578947  | 0.8      |   0.651442 |
| ('museData18.csv', 'RF')  | 0.416667 |   0.434783 |           0.416667 |    0.419231 |     0.5       | 0.333333 |   0.417154 |
| ('museData18.csv', 'XGB') | 0.615079 |   0.652174 |           0.615079 |    0.629464 |     0.785714  | 0.444444 |   0.616667 |
| ('museData18.csv', 'SVM') | 0.436508 |   0.434783 |           0.436508 |    0.439394 |     0.428571  | 0.444444 |   0.430476 |
| ('museData19.csv', 'RF')  | 0.675    |   0.666667 |           0.675    |    0.675    |     0.6       | 0.75     |   0.666667 |
| ('museData19.csv', 'XGB') | 0.6625   |   0.666667 |           0.6625   |    0.6625   |     0.7       | 0.625    |   0.6625   |
| ('museData19.csv', 'SVM') | 0.6125   |   0.611111 |           0.6125   |    0.611111 |     0.6       | 0.625    |   0.609907 |
| ('museData4.csv', 'RF')   | 0.5      |   0.5      |           0.5      |    0.5      |     0.294118  | 0.705882 |   0.477868 |
| ('museData4.csv', 'XGB')  | 0.529412 |   0.529412 |           0.529412 |    0.529412 |     0.529412  | 0.529412 |   0.529412 |
| ('museData4.csv', 'SVM')  | 0.441176 |   0.441176 |           0.441176 |    0.358333 |     0.0588235 | 0.823529 |   0.345491 |
| ('museData5.csv', 'RF')   | 0.437895 |   0.454545 |           0.437895 |    0.43573  |     0.315789  | 0.56     |   0.435897 |
| ('museData5.csv', 'XGB')  | 0.450526 |   0.454545 |           0.450526 |    0.451346 |     0.421053  | 0.48     |   0.45     |
| ('museData5.csv', 'SVM')  | 0.357895 |   0.363636 |           0.357895 |    0.360248 |     0.315789  | 0.4      |   0.358333 |
| ('museData6.csv', 'RF')   | 0.861111 |   0.857143 |           0.861111 |    0.854545 |     0.888889  | 0.833333 |   0.855835 |
| ('museData6.csv', 'XGB')  | 0.805556 |   0.809524 |           0.805556 |    0.805556 |     0.777778  | 0.833333 |   0.805556 |
| ('museData6.csv', 'SVM')  | 0.833333 |   0.809524 |           0.833333 |    0.846154 |     1         | 0.666667 |   0.809091 |
| ('museData7.csv', 'RF')   | 0.441176 |   0.625    |           0.441176 |    0.340909 |     0.882353  | 0        |   0.384615 |
| ('museData7.csv', 'XGB')  | 0.453782 |   0.583333 |           0.453782 |    0.442105 |     0.764706  | 0.142857 |   0.444444 |
| ('museData7.csv', 'SVM')  | 0.5      |   0.708333 |           0.5      |    0.354167 |     1         | 0        |   0.414634 |
| ('museData8.csv', 'RF')   | 0.52381  |   0.5      |           0.52381  |    0.525084 |     0.666667  | 0.380952 |   0.498452 |
| ('museData8.csv', 'XGB')  | 0.504762 |   0.5      |           0.504762 |    0.504644 |     0.533333  | 0.47619  |   0.498452 |
| ('museData8.csv', 'SVM')  | 0.461905 |   0.416667 |           0.461905 |    0.446429 |     0.733333  | 0.190476 |   0.393745 |
| ('museData9.csv', 'RF')   | 0.472222 |   0.625    |           0.472222 |    0.468421 |     0.166667  | 0.777778 |   0.469287 |
| ('museData9.csv', 'XGB')  | 0.527778 |   0.625    |           0.527778 |    0.52521  |     0.333333  | 0.722222 |   0.525275 |
| ('museData9.csv', 'SVM')  | 0.5      |   0.583333 |           0.5      |    0.5      |     0.333333  | 0.666667 |   0.495798 |
